polity_id,polity_name,has_structured_capital,capital_event_count,has_migration,has_disputed_capital,capital_modern_raw,coverage_note
polity_0001,丁零,False,0,False,False,,暂无可解析都城资料
polity_0002,东吴,True,1,False,False,,structured
polity_0003,东周,True,1,False,False,,structured
polity_0004,东周国,False,0,False,False,,暂无可解析都城资料
polity_0005,东晋,True,1,False,False,,structured
polity_0006,东汉,True,2,True,False,,structured
polity_0007,东虢国,False,0,False,False,,暂无可解析都城资料
polity_0008,东魏,False,0,False,False,,暂无可解析都城资料
polity_0009,中天八国王,False,0,False,False,,暂无可解析都城资料
polity_0010,中山国,False,0,False,False,,暂无可解析都城资料
polity_0011,仇池,False,0,False,False,,暂无可解析都城资料
polity_0012,代国,False,0,False,False,,暂无可解析都城资料
polity_0013,元朝,True,1,False,False,,structured
polity_0014,六国,False,0,False,False,安徽省六安市北一带,暂无可解析都城资料
polity_0015,冉魏,False,0,False,False,,暂无可解析都城资料
polity_0016,刘国,False,0,False,False,,暂无可解析都城资料
polity_0017,刘宋,False,0,False,False,,暂无可解析都城资料
polity_0018,前仇池,False,0,False,False,,暂无可解析都城资料
polity_0019,前凉,False,0,False,False,,暂无可解析都城资料
polity_0020,前燕,False,0,False,False,,暂无可解析都城资料
polity_0021,前秦,False,0,False,False,,暂无可解析都城资料
polity_0022,前蜀,False,0,False,False,,暂无可解析都城资料
polity_0023,北元,False,0,False,False,,暂无可解析都城资料
polity_0024,北凉,False,0,False,False,,暂无可解析都城资料
polity_0025,北周,False,0,False,False,,暂无可解析都城资料
polity_0026,北宋,True,1,False,False,,structured
polity_0027,北汉,False,0,False,False,,暂无可解析都城资料
polity_0028,北燕,False,0,False,False,,暂无可解析都城资料
polity_0029,北虢国,False,0,False,False,山西省平陆县东南夏阳,暂无可解析都城资料
polity_0030,北魏,True,3,True,False,,structured
polity_0031,北齐,False,0,False,False,,暂无可解析都城资料
polity_0032,南凉,False,0,False,False,,暂无可解析都城资料
polity_0033,南唐,False,0,False,False,,暂无可解析都城资料
polity_0034,南宋,True,1,False,False,,structured
polity_0035,南明,False,0,False,False,,暂无可解析都城资料
polity_0036,南汉,False,0,False,False,,暂无可解析都城资料
polity_0037,南燕,False,0,False,False,,暂无可解析都城资料
polity_0038,南齐,False,0,False,False,,暂无可解析都城资料
polity_0039,卢龙军,False,0,False,False,,暂无可解析都城资料
polity_0040,卫国,False,0,False,False,,暂无可解析都城资料
polity_0041,原国,False,0,False,False,河南省济源市,暂无可解析都城资料
polity_0042,召国,False,0,False,False,陕西省岐山县西南,暂无可解析都城资料
polity_0043,后仇池,False,0,False,False,,暂无可解析都城资料
polity_0044,后凉,False,0,False,False,,暂无可解析都城资料
polity_0045,后周,False,0,False,False,,暂无可解析都城资料
polity_0046,后唐,False,0,False,False,,暂无可解析都城资料
polity_0047,后晋,False,0,False,False,,暂无可解析都城资料
polity_0048,后梁,False,0,False,False,,暂无可解析都城资料
polity_0049,后汉,False,0,False,False,,暂无可解析都城资料
polity_0050,后燕,False,0,False,False,,暂无可解析都城资料
polity_0051,后秦,False,0,False,False,,暂无可解析都城资料
polity_0052,后蜀,False,0,False,False,,暂无可解析都城资料
polity_0053,后赵,False,0,False,False,,暂无可解析都城资料
polity_0054,后金,False,0,False,False,,暂无可解析都城资料
polity_0055,吕国,False,0,False,False,,暂无可解析都城资料
polity_0056,吴国,True,2,True,False,前都梅里(今无锡)，后迁吴(今苏州),structured
polity_0057,吴越,False,0,False,False,,暂无可解析都城资料
polity_0058,周国,False,0,False,False,,暂无可解析都城资料
polity_0059,唐朝,True,2,False,False,,structured
polity_0060,宇文部,False,0,False,False,,暂无可解析都城资料
polity_0061,宋国,False,0,False,False,,暂无可解析都城资料
polity_0062,宕昌,False,0,False,False,,暂无可解析都城资料
polity_0063,宿国,True,2,True,True,山东省东平县宿城村一带(后迁安徽宿州),structured
