csv_line,row_id,year,macro_period,dynasty_name,polity_name,polity_start_year,polity_end_year,violation,ruler_name,row_granularity
10445,10444,-834,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10496,10495,-833,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10547,10546,-832,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10598,10597,-831,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10649,10648,-830,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10700,10699,-829,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10751,10750,-828,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10802,10801,-827,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10854,10853,-826,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10906,10905,-825,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
10957,10956,-824,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11008,11007,-823,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11059,11058,-822,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11110,11109,-821,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11162,11161,-820,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11214,11213,-819,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11266,11265,-818,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11318,11317,-817,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11370,11369,-816,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11422,11421,-815,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11474,11473,-814,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11526,11525,-813,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11578,11577,-812,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11630,11629,-811,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11682,11681,-810,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11734,11733,-809,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11787,11786,-808,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11839,11838,-807,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11891,11890,-806,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11944,11943,-805,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
11997,11996,-804,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12050,12049,-803,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12103,12102,-802,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12156,12155,-801,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12209,12208,-800,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
12262,12261,-799,周,周代诸侯国,北虢國沛縣,-767,-655,before_start,,year_polity
